Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F106 Ivanov2 0.0 0.0
panchromatic F106 Ivanov2 30.76923076923077 30.76923076923077
time_domain F106 Ivanov2 0.0 0.0
wide_area F129 Ivanov2 76.92307692307693 76.92307692307693
panchromatic F129 Ivanov2 30.76923076923077 30.76923076923077
time_domain F129 Ivanov2 0.0 0.0
wide_area F158 Ivanov2 76.92307692307693 76.92307692307693
panchromatic F158 Ivanov2 30.76923076923077 30.76923076923077
time_domain F158 Ivanov2 0.0 0.0
wide_area F213 Ivanov2 76.92307692307693 76.92307692307693
panchromatic F213 Ivanov2 30.76923076923077 30.76923076923077
time_domain F213 Ivanov2 0.0 0.0
