Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F087 Carey1 0.0 0.0
panchromatic F087 Carey1 1.9333250712603791 1.9305019305019304
time_domain F087 Carey1 3.445284421861445 4.878904878904879
wide_area F106 Carey1 0.0 0.0
panchromatic F106 Carey1 1.9333250712603791 1.9305019305019304
time_domain F106 Carey1 3.445284421861445 4.878904878904879
wide_area F129 Carey1 91.0149956624117 91.51749151749152
panchromatic F129 Carey1 1.9333250712603791 1.9305019305019304
time_domain F129 Carey1 3.445284421861445 4.878904878904879
wide_area F158 Carey1 91.0149956624117 91.51749151749152
panchromatic F158 Carey1 1.9333250712603791 1.9305019305019304
time_domain F158 Carey1 3.445284421861445 4.878904878904879
wide_area F184 Carey1 76.45309208080307 77.76997776997777
panchromatic F184 Carey1 1.9333250712603791 1.9305019305019304
time_domain F184 Carey1 3.445284421861445 4.878904878904879
wide_area F213 Carey1 91.0149956624117 91.51749151749152
panchromatic F213 Carey1 1.9333250712603791 1.9305019305019304
time_domain F213 Carey1 3.445284421861445 4.878904878904879
